Зелёные,Красные,Жёлтые
68673,66891,66099
141508,137836,136204
190929,191859,192510
182717,183607,184230
99888,97296,96144
12486,12162,12018
49944,48648,48072
67749,68079,68310
49272,49512,49680
166293,167103,167670
112915,113465,113850
57484,57764,57960
90332,90772,91080
47863,46621,46069
74916,72972,72108
67749,68079,68310
82120,82520,82800
104050,101350,100150
120698,117566,116174
151913,147971,146219
82120,82520,82800
197695,192565,190285
172452,173292,173880
16424,16504,16560
158156,154052,152228
43113,43323,43470
70754,68918,68102
143589,139863,138207
151913,147971,146219
18729,18243,18027
124860,121620,120180
119074,119654,120060
78014,78394,78660
52025,50675,50075
29134,28378,28042
201194,202174,202860
104050,101350,100150
158156,154052,152228
72835,70945,70105
67749,68079,68310
22583,22693,22770
184770,185670,186300
195614,190538,188282
166293,167103,167670
27053,26351,26039
33296,32432,32048
108212,105404,104156
27053,26351,26039
143589,139863,138207
189371,184457,182273
174505,175355,175950
49272,49512,49680
12486,12162,12018
131392,132032,132480
20530,20630,20700
89483,87161,86129
58268,56756,56084
58268,56756,56084
90332,90772,91080
187290,182430,180270
80067,80457,80730
139604,140284,140760
90332,90772,91080
10405,10135,10015
45166,45386,45540
151922,152662,153180
2081,2027,2003
180664,181544,182160
104050,101350,100150
91564,89188,88132
4162,4054,4006
133445,134095,134550
104050,101350,100150
176558,177418,178020
41060,41260,41400
12486,12162,12018
176558,177418,178020
2053,2063,2070
18729,18243,18027
106131,103377,102153
72835,70945,70105
31215,30405,30045
184770,185670,186300
61590,61890,62100
63643,63953,64170
65696,66016,66240
192982,193922,194580
118617,115539,114171
201194,202174,202860
100597,101087,101430
31215,30405,30045
145763,146473,146970
53378,53638,53820
147751,143917,142213
81159,79053,78117
199776,194592,192288
147816,148536,149040
81159,79053,78117
41620,40540,40060
104050,101350,100150
73908,74268,74520
206019,200673,198297
166293,167103,167670
10405,10135,10015
18729,18243,18027
52025,50675,50075
27053,26351,26039
81159,79053,78117
189371,184457,182273
2081,2027,2003
158156,154052,152228
36954,37134,37260
39539,38513,38057
121127,121717,122130
164240,165040,165600
149832,145944,144216
97807,95269,94141
82120,82520,82800
45782,44594,44066
178611,179481,180090
28742,28882,28980
117021,117591,117990
164399,160133,158237
191452,186484,184276
117021,117591,117990
10405,10135,10015
124860,121620,120180
191452,186484,184276
73908,74268,74520
61590,61890,62100
49944,48648,48072
102650,103150,103500
51325,51575,51750
106756,107276,107640
186823,187733,188370
119074,119654,120060
12318,12378,12420
129022,125674,124186
129339,129969,130410
206019,200673,198297
186823,187733,188370
91564,89188,88132
81159,79053,78117
168346,169166,169740
156075,152025,150225
92385,92835,93150
96491,96961,97290
160237,156079,154231
119074,119654,120060
178966,174322,172258
4106,4126,4140
81159,79053,78117
133445,134095,134550
149832,145944,144216
141657,142347,142830
197695,192565,190285
112374,109458,108162
39539,38513,38057
30795,30945,31050
187290,182430,180270
67749,68079,68310
68673,66891,66099
22891,22297,22033
174804,170268,168252
88279,88709,89010
149869,150599,151110
199776,194592,192288
32848,33008,33120
151913,147971,146219
197088,198048,198720
62430,60810,60090
94438,94898,95220
110293,107431,106159
100597,101087,101430
131103,127701,126189
49272,49512,49680
147751,143917,142213
37458,36486,36054
43113,43323,43470
156028,156788,157320
135498,136158,136620
125233,125843,126270
129339,129969,130410
43701,42567,42063
120698,117566,116174
70754,68918,68102
51325,51575,51750
62430,60810,60090
112374,109458,108162
16424,16504,16560
160134,160914,161460
199776,194592,192288
2081,2027,2003
156075,152025,150225
54106,52702,52078
52025,50675,50075
168561,164187,162243
10265,10315,10350
156028,156788,157320
29134,28378,28042
141657,142347,142830
172452,173292,173880
28742,28882,28980
139427,135809,134201
6159,6189,6210
137551,138221,138690
22891,22297,22033
158156,154052,152228
18729,18243,18027
75961,76331,76590
183128,178376,176264
63643,63953,64170
120698,117566,116174
158156,154052,152228
112915,113465,113850
118617,115539,114171
10405,10135,10015
127286,127906,128340
114968,115528,115920
41620,40540,40060
158081,158851,159390
164399,160133,158237
192982,193922,194580
12318,12378,12420
189371,184457,182273
178611,179481,180090
139427,135809,134201
197695,192565,190285
118617,115539,114171
62430,60810,60090
166293,167103,167670
141508,137836,136204
149869,150599,151110
31215,30405,30045
70754,68918,68102
6159,6189,6210
129022,125674,124186
85321,83107,82123
133184,129728,128192
2053,2063,2070
160237,156079,154231
174505,175355,175950
149869,150599,151110
174505,175355,175950
79078,77026,76114
188876,189796,190440
102650,103150,103500
203247,204237,204930
192982,193922,194580
20530,20630,20700
189371,184457,182273
100597,101087,101430
139427,135809,134201
65696,66016,66240
203938,198646,196294
20810,20270,20030
31215,30405,30045
12486,12162,12018
170642,166214,164246
99888,97296,96144
199141,200111,200790
168346,169166,169740
84173,84583,84870
197695,192565,190285
188876,189796,190440
80067,80457,80730
137346,133782,132198
55431,55701,55890
110862,111402,111780
118617,115539,114171
22891,22297,22033
60349,58783,58087
60349,58783,58087
33296,32432,32048
14371,14441,14490
110862,111402,111780
168561,164187,162243
164399,160133,158237
203938,198646,196294
14371,14441,14490
197695,192565,190285
147816,148536,149040
8324,8108,8012
145670,141890,140210
4162,4054,4006
182717,183607,184230
6159,6189,6210
16424,16504,16560
145763,146473,146970
49272,49512,49680
53378,53638,53820
201194,202174,202860
94438,94898,95220
54106,52702,52078
126941,123647,122183
158081,158851,159390
172452,173292,173880
68673,66891,66099
176885,172295,170255
137346,133782,132198
166293,167103,167670
192982,193922,194580
51325,51575,51750
45166,45386,45540
186823,187733,188370
96491,96961,97290
8324,8108,8012
114968,115528,115920
64511,62837,62093
106131,103377,102153
176558,177418,178020
106756,107276,107640
64511,62837,62093
80067,80457,80730
168346,169166,169740
22891,22297,22033
89483,87161,86129
158081,158851,159390
183128,178376,176264
96491,96961,97290
199141,200111,200790
156028,156788,157320
183128,178376,176264
43113,43323,43470
86226,86646,86940
106131,103377,102153
137551,138221,138690
6159,6189,6210
170399,171229,171810
195614,190538,188282
12318,12378,12420
133184,129728,128192
124860,121620,120180
37458,36486,36054
36954,37134,37260
34901,35071,35190
4162,4054,4006
174505,175355,175950
73908,74268,74520
151913,147971,146219
149869,150599,151110
201194,202174,202860
45782,44594,44066
145763,146473,146970
61590,61890,62100
41620,40540,40060
51325,51575,51750
112374,109458,108162
75961,76331,76590
126941,123647,122183
32848,33008,33120
178611,179481,180090
